oracle_natural_account,description,parent1_code,parent1_description,parent2_code,parent2_description,parent3_code,parent3_description,parent4_code,parent4_description,parent5_code,parent5_description,financial_category,financial_sub_category,danaos_name,danaos_description_details,danaos_description_sub,danaos_description_main
615158,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615162,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615112,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615114,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615118,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615122,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615124,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615128,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615132,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615134,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615138,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615142,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615144,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615146,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615148,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615152,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615154,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615156,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615312,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615164,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615166,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615168,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615412,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615416,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615542,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615544,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615546,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615548,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
615552,,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,615000,PROVISION FOR DOUBTFUL DEBTS,610000,VESSEL VOYAGE EXPENSES,600000,EXPENSES,Expense,Vessel Voyage Costs,,,,
