ledger_card,source_system,oracle_natural_account
14070,CUBIC,111102
14070,DANAOS,111102
14080,DANAOS,111102
14080,PENWOOD,111102
14080,QCT,111102
14080,CUBIC,111102
14090,CUBIC,111102
14090,DANAOS,111102
14090,PENWOOD,111102
14100,PENWOOD,111102
14100,DANAOS,111102
14100,CUBIC,111102
14110,PENWOOD,111102
14110,DANAOS,111102
14110,QCT,111102
14110,CUBIC,111102
14120,DANAOS,111102
14130,CUBIC,111102
14130,DANAOS,111102
14130,QCT,111102
14130,PENWOOD,111102
14140,PENWOOD,111102
14140,CUBIC,111102
14510,QCT,112102
14510,PENWOOD,112102
14510,CUBIC,112102
14510,DANAOS,112102
14515,PENWOOD,112104
14515,QCT,112104
14515,DANAOS,112104
14520,DANAOS,113102
14520,QCT,113102
14520,CUBIC,113102
14520,PENWOOD,113102
20010,PENWOOD,149496
20015,PENWOOD,149496
20020,PENWOOD,149496
20090,PENWOOD,149496
20090,DANAOS,149496
20091,PENWOOD,131378
20091,DANAOS,131378
20092,DANAOS,131438
20092,PENWOOD,131438
20093,DANAOS,149496
20093,PENWOOD,149496
20094,DANAOS,131314
20100,PENWOOD,131424
20105,CUBIC,149496
20105,PENWOOD,149496
20105,DANAOS,149496
20110,PENWOOD,149496
20150,PENWOOD,149496
20160,PENWOOD,149496
20170,PENWOOD,131388
20170,DANAOS,131388
20171,PENWOOD,131386
20171,DANAOS,131386
20180,PENWOOD,131354
20180,DANAOS,131354
20182,PENWOOD,131356
20182,DANAOS,131356
20185,PENWOOD,131432
20200,PENWOOD,131384
20205,PENWOOD,131352
20206,PENWOOD,131344
20207,PENWOOD,131346
20208,PENWOOD,131348
20210,PENWOOD,131358
20215,PENWOOD,149496
20215,CUBIC,149496
20220,PENWOOD,149496
20221,PENWOOD,149496
20222,PENWOOD,131436
20223,PENWOOD,149496
20225,PENWOOD,149496
20226,PENWOOD,149496
20300,PENWOOD,149496
20310,PENWOOD,131328
20315,PENWOOD,131324
20316,PENWOOD,131434
20320,PENWOOD,131428
