"VESSEL_CODE","VESSEL_NAME","LEDGER_CARD","BUDGET_VALUE","TOTAL_PERIOD"
"1315","PACIFIC ONYX","91020",860,2
"1315","PACIFIC ONYX","91021",255,2
"1315","PACIFIC ONYX","91025",0,2
"1315","PACIFIC ONYX","91030",0,2
"1315","PACIFIC ONYX","91040",410,2
"1315","PACIFIC ONYX","91050",215,2
"1315","PACIFIC ONYX","91080",4,2
"1315","PACIFIC ONYX","91081",0,2
"1315","PACIFIC ONYX","91120",3,2
"1315","PACIFIC ONYX","91140",0,2
"1315","PACIFIC ONYX","91143",0,2
"1315","PACIFIC ONYX","91147",0,2
"1315","PACIFIC ONYX","91150",4,2
"1315","PACIFIC ONYX","91155",0,2
"1315","PACIFIC ONYX","91157",0,2
"1315","PACIFIC ONYX","91158",1313,2
"1315","PACIFIC ONYX","91170",115,2
"1315","PACIFIC ONYX","91180",85,2
"1315","PACIFIC ONYX","91200",5,2
"1315","PACIFIC ONYX","91220",3,2
"1315","PACIFIC ONYX","91225",0,2
"1315","PACIFIC ONYX","92010",0,2
"1315","PACIFIC ONYX","92030",0,2
"1315","PACIFIC ONYX","93025",25,2
"1315","PACIFIC ONYX","93026",20,2
"1315","PACIFIC ONYX","93027",18,2
"1315","PACIFIC ONYX","93028",0,2
"1315","PACIFIC ONYX","93029",0,2
"1315","PACIFIC ONYX","93031",10,2
"1315","PACIFIC ONYX","93032",5,2
"1315","PACIFIC ONYX","91235",5,2
"1315","PACIFIC ONYX","93017",0,2
"1315","PACIFIC ONYX","93018",0,2
"1315","PACIFIC ONYX","93019",200,2
"1315","PACIFIC ONYX","93020",0,2
"1315","PACIFIC ONYX","93021",30,2
"1315","PACIFIC ONYX","93022",30,2
"1315","PACIFIC ONYX","93023",5,2
"1315","PACIFIC ONYX","93024",5,2
"1315","PACIFIC ONYX","91041",10,2
"1315","PACIFIC ONYX","91240",0,2
"1315","PACIFIC ONYX","93010",5,2
"1315","PACIFIC ONYX","93012",12,2
"1315","PACIFIC ONYX","93015",5,2
"1315","PACIFIC ONYX","93030",20,2
"1315","PACIFIC ONYX","93033",5,2
"1315","PACIFIC ONYX","93035",35,2
"1315","PACIFIC ONYX","93040",11,2
"1315","PACIFIC ONYX","93045",5,2
"1315","PACIFIC ONYX","93050",10,2
"1315","PACIFIC ONYX","93070",4,2
"1315","PACIFIC ONYX","93071",3,2
"1315","PACIFIC ONYX","93080",0,2
"1315","PACIFIC ONYX","94160",90,2
"1315","PACIFIC ONYX","94161",0,2
"1315","PACIFIC ONYX","94163",0,2
"1315","PACIFIC ONYX","94110",70,2
"1315","PACIFIC ONYX","94120",60,2
"1315","PACIFIC ONYX","94130",50,2
"1315","PACIFIC ONYX","94140",35,2
"1315","PACIFIC ONYX","94141",30,2
"1315","PACIFIC ONYX","94150",70,2
"1315","PACIFIC ONYX","94151",0,2
"1315","PACIFIC ONYX","94152",5,2
"1315","PACIFIC ONYX","94153",10,2
"1315","PACIFIC ONYX","94170",10,2
"1315","PACIFIC ONYX","94180",25,2
"1315","PACIFIC ONYX","94185",0,2
"1315","PACIFIC ONYX","94186",30,2
"1315","PACIFIC ONYX","94187",50,2
"1315","PACIFIC ONYX","94188",15,2
"1315","PACIFIC ONYX","94194",35,2
"1315","PACIFIC ONYX","94196",25,2
"1315","PACIFIC ONYX","94271",25,2
"1315","PACIFIC ONYX","94273",0,2
"1315","PACIFIC ONYX","94375",0,2
"1315","PACIFIC ONYX","94274",15,2
"1315","PACIFIC ONYX","94275",10,2
"1315","PACIFIC ONYX","94277",60,2
"1315","PACIFIC ONYX","94800",12,2
"1315","PACIFIC ONYX","94272",55,2
"1315","PACIFIC ONYX","94400",0,2
"1315","PACIFIC ONYX","94500",115,2
"1315","PACIFIC ONYX","94520",0,2
"1315","PACIFIC ONYX","94530",10,2
"1315","PACIFIC ONYX","94540",10,2
"1315","PACIFIC ONYX","94600",0,2
"1315","PACIFIC ONYX","94610",7,2
"1315","PACIFIC ONYX","94290",0,2
"1315","PACIFIC ONYX","94310",0,2
"1315","PACIFIC ONYX","94315",45,2
"1315","PACIFIC ONYX","94317",15,2
"1315","PACIFIC ONYX","94320",25,2
"1315","PACIFIC ONYX","94321",25,2
"1315","PACIFIC ONYX","94322",0,2
"1315","PACIFIC ONYX","94323",10,2
"1315","PACIFIC ONYX","94325",15,2
"1315","PACIFIC ONYX","94340",25,2
"1315","PACIFIC ONYX","94360",0,2
"1315","PACIFIC ONYX","94370",0,2
"1315","PACIFIC ONYX","94380",0,2
"1315","PACIFIC ONYX","94381",0,2
"1315","PACIFIC ONYX","94210",40,2
"1315","PACIFIC ONYX","94211",35,2
"1315","PACIFIC ONYX","94212",25,2
"1315","PACIFIC ONYX","94213",55,2
"1315","PACIFIC ONYX","94220",70,2
"1315","PACIFIC ONYX","94221",50,2
"1315","PACIFIC ONYX","94222",60,2
"1315","PACIFIC ONYX","94223",25,2
"1315","PACIFIC ONYX","94225",20,2
"1315","PACIFIC ONYX","94226",50,2
"1315","PACIFIC ONYX","94227",0,2
"1315","PACIFIC ONYX","94240",0,2
"1315","PACIFIC ONYX","94245",0,2
"1315","PACIFIC ONYX","94246",0,2
"1315","PACIFIC ONYX","94260",30,2
"1315","PACIFIC ONYX","94262",35,2
"1315","PACIFIC ONYX","94264",25,2
"1315","PACIFIC ONYX","94270",6,2
"1315","PACIFIC ONYX","94250",13,2
"1315","PACIFIC ONYX","95010",60,2
"1315","PACIFIC ONYX","95020",120,2
"1315","PACIFIC ONYX","95030",40,2
"1315","PACIFIC ONYX","95040",40,2
"1315","PACIFIC ONYX","95045",0,2
"1315","PACIFIC ONYX","96060",0,2
"1315","PACIFIC ONYX","97110",75,2
"1315","PACIFIC ONYX","97120",100,2
"1315","PACIFIC ONYX","97210",0,2
"1315","PACIFIC ONYX","97230",0,2
"1315","PACIFIC ONYX","97320",0,2
"1315","PACIFIC ONYX","97330",0,2
"1315","PACIFIC ONYX","98230",25,2
"1315","PACIFIC ONYX","98240",15,2
"1315","PACIFIC ONYX","98255",0,2
"1315","PACIFIC ONYX","98257",15,2
"1315","PACIFIC ONYX","98260",0,2
"1315","PACIFIC ONYX","98270",0,2
"1315","PACIFIC ONYX","98290",0,2
"1315","PACIFIC ONYX","98291",15,2
"1315","PACIFIC ONYX","98510",0,2
"1315","PACIFIC ONYX","EXDF",5,2
"1315","PACIFIC ONYX","98210",50,2
"1315","PACIFIC ONYX","98215",5,2
"1315","PACIFIC ONYX","98310",0,2
"1398","PACIFIC BERYL","91020",855,2
"1398","PACIFIC BERYL","91021",250,2
"1398","PACIFIC BERYL","91025",0,2
"1398","PACIFIC BERYL","91030",0,2
"1398","PACIFIC BERYL","91040",405,2
"1398","PACIFIC BERYL","91050",210,2
"1398","PACIFIC BERYL","91080",4,2
"1398","PACIFIC BERYL","91081",0,2
"1398","PACIFIC BERYL","91120",3,2
"1398","PACIFIC BERYL","91140",0,2
"1398","PACIFIC BERYL","91143",0,2
"1398","PACIFIC BERYL","91147",0,2
"1398","PACIFIC BERYL","91150",4,2
"1398","PACIFIC BERYL","91155",0,2
"1398","PACIFIC BERYL","91157",0,2
"1398","PACIFIC BERYL","91158",1300,2
"1398","PACIFIC BERYL","91170",115,2
"1398","PACIFIC BERYL","91180",85,2
"1398","PACIFIC BERYL","91200",5,2
"1398","PACIFIC BERYL","91220",3,2
"1398","PACIFIC BERYL","91225",0,2
"1398","PACIFIC BERYL","92010",0,2
"1398","PACIFIC BERYL","92030",0,2
"1398","PACIFIC BERYL","93025",25,2
"1398","PACIFIC BERYL","93026",20,2
"1398","PACIFIC BERYL","93027",18,2
"1398","PACIFIC BERYL","93028",0,2
"1398","PACIFIC BERYL","93029",0,2
"1398","PACIFIC BERYL","93031",10,2
"1398","PACIFIC BERYL","93032",5,2
"1398","PACIFIC BERYL","91235",5,2
"1398","PACIFIC BERYL","93017",0,2
"1398","PACIFIC BERYL","93018",0,2
"1398","PACIFIC BERYL","93019",190,2
"1398","PACIFIC BERYL","93020",0,2
"1398","PACIFIC BERYL","93021",25,2
"1398","PACIFIC BERYL","93022",30,2
"1398","PACIFIC BERYL","93023",5,2
"1398","PACIFIC BERYL","93024",5,2
"1398","PACIFIC BERYL","91041",10,2
"1398","PACIFIC BERYL","91240",0,2
"1398","PACIFIC BERYL","93010",5,2
"1398","PACIFIC BERYL","93012",12,2
"1398","PACIFIC BERYL","93015",5,2
"1398","PACIFIC BERYL","93030",18,2
"1398","PACIFIC BERYL","93033",5,2
"1398","PACIFIC BERYL","93035",35,2
"1398","PACIFIC BERYL","93040",11,2
"1398","PACIFIC BERYL","93045",5,2
"1398","PACIFIC BERYL","93050",10,2
"1398","PACIFIC BERYL","93070",4,2
"1398","PACIFIC BERYL","93071",3,2
"1398","PACIFIC BERYL","93080",0,2
"1398","PACIFIC BERYL","94160",60,2
"1398","PACIFIC BERYL","94161",0,2
"1398","PACIFIC BERYL","94163",0,2
"1398","PACIFIC BERYL","94110",65,2
"1398","PACIFIC BERYL","94120",55,2
"1398","PACIFIC BERYL","94130",40,2
"1398","PACIFIC BERYL","94140",35,2
"1398","PACIFIC BERYL","94141",35,2
"1398","PACIFIC BERYL","94150",60,2
"1398","PACIFIC BERYL","94151",0,2
"1398","PACIFIC BERYL","94152",5,2
"1398","PACIFIC BERYL","94153",10,2
"1398","PACIFIC BERYL","94170",10,2
"1398","PACIFIC BERYL","94180",25,2
"1398","PACIFIC BERYL","94185",0,2
"1398","PACIFIC BERYL","94186",30,2
"1398","PACIFIC BERYL","94187",50,2
"1398","PACIFIC BERYL","94188",15,2
"1398","PACIFIC BERYL","94194",20,2
"1398","PACIFIC BERYL","94196",25,2
"1398","PACIFIC BERYL","94271",15,2
"1398","PACIFIC BERYL","94273",0,2
"1398","PACIFIC BERYL","94375",0,2
"1398","PACIFIC BERYL","94274",8,2
"1398","PACIFIC BERYL","94275",10,2
"1398","PACIFIC BERYL","94277",60,2
"1398","PACIFIC BERYL","94800",12,2
"1398","PACIFIC BERYL","94272",55,2
"1398","PACIFIC BERYL","94400",0,2
"1398","PACIFIC BERYL","94500",130,2
"1398","PACIFIC BERYL","94520",0,2
"1398","PACIFIC BERYL","94530",10,2
"1398","PACIFIC BERYL","94540",10,2
"1398","PACIFIC BERYL","94600",0,2
"1398","PACIFIC BERYL","94610",7,2
"1398","PACIFIC BERYL","94290",0,2
"1398","PACIFIC BERYL","94310",0,2
"1398","PACIFIC BERYL","94315",20,2
"1398","PACIFIC BERYL","94317",15,2
"1398","PACIFIC BERYL","94320",20,2
"1398","PACIFIC BERYL","94321",25,2
"1398","PACIFIC BERYL","94322",0,2
"1398","PACIFIC BERYL","94323",10,2
"1398","PACIFIC BERYL","94325",10,2
"1398","PACIFIC BERYL","94340",20,2
"1398","PACIFIC BERYL","94360",0,2
"1398","PACIFIC BERYL","94370",0,2
"1398","PACIFIC BERYL","94380",0,2
"1398","PACIFIC BERYL","94381",0,2
"1398","PACIFIC BERYL","94210",70,2
"1398","PACIFIC BERYL","94211",60,2
"1398","PACIFIC BERYL","94212",40,2
"1398","PACIFIC BERYL","94213",60,2
"1398","PACIFIC BERYL","94220",60,2
"1398","PACIFIC BERYL","94221",100,2
"1398","PACIFIC BERYL","94222",90,2
"1398","PACIFIC BERYL","94223",22,2
"1398","PACIFIC BERYL","94225",50,2
"1398","PACIFIC BERYL","94226",40,2
"1398","PACIFIC BERYL","94227",0,2
"1398","PACIFIC BERYL","94240",0,2
"1398","PACIFIC BERYL","94245",0,2
"1398","PACIFIC BERYL","94246",0,2
"1398","PACIFIC BERYL","94260",30,2
"1398","PACIFIC BERYL","94262",35,2
"1398","PACIFIC BERYL","94264",25,2
"1398","PACIFIC BERYL","94270",17,2
"1398","PACIFIC BERYL","94250",4,2
"1398","PACIFIC BERYL","95010",60,2
"1398","PACIFIC BERYL","95020",120,2
"1398","PACIFIC BERYL","95030",40,2
"1398","PACIFIC BERYL","95040",40,2
"1398","PACIFIC BERYL","95045",0,2
"1398","PACIFIC BERYL","96060",0,2
"1398","PACIFIC BERYL","97110",68,2
"1398","PACIFIC BERYL","97120",100,2
"1398","PACIFIC BERYL","97210",0,2
"1398","PACIFIC BERYL","97230",0,2
"1398","PACIFIC BERYL","97320",0,2
"1398","PACIFIC BERYL","97330",0,2
"1398","PACIFIC BERYL","98230",25,2
"1398","PACIFIC BERYL","98240",15,2
"1398","PACIFIC BERYL","98255",0,2
"1398","PACIFIC BERYL","98257",15,2
"1398","PACIFIC BERYL","98260",0,2
"1398","PACIFIC BERYL","98270",0,2
"1398","PACIFIC BERYL","98290",0,2
"1398","PACIFIC BERYL","98291",15,2
"1398","PACIFIC BERYL","98510",0,2
"1398","PACIFIC BERYL","EXDF",5,2
"1398","PACIFIC BERYL","98210",50,2
"1398","PACIFIC BERYL","98215",5,2
"1398","PACIFIC BERYL","98310",0,2
"2133","PACIFIC AZUR","91020",840,2
"2133","PACIFIC AZUR","91021",245,2
"2133","PACIFIC AZUR","91025",0,2
"2133","PACIFIC AZUR","91030",0,2
"2133","PACIFIC AZUR","91040",395,2
"2133","PACIFIC AZUR","91050",205,2
"2133","PACIFIC AZUR","91080",4,2
"2133","PACIFIC AZUR","91081",0,2
"2133","PACIFIC AZUR","91120",3,2
"2133","PACIFIC AZUR","91140",0,2
"2133","PACIFIC AZUR","91143",0,2
"2133","PACIFIC AZUR","91147",0,2
"2133","PACIFIC AZUR","91150",4,2
"2133","PACIFIC AZUR","91155",0,2
"2133","PACIFIC AZUR","91157",0,2
"2133","PACIFIC AZUR","91158",1290,2
"2133","PACIFIC AZUR","91170",105,2
"2133","PACIFIC AZUR","91180",85,2
"2133","PACIFIC AZUR","91200",5,2
"2133","PACIFIC AZUR","91220",3,2
"2133","PACIFIC AZUR","91225",0,2
"2133","PACIFIC AZUR","92010",0,2
"2133","PACIFIC AZUR","92030",0,2
"2133","PACIFIC AZUR","93025",25,2
"2133","PACIFIC AZUR","93026",20,2
"2133","PACIFIC AZUR","93027",18,2
"2133","PACIFIC AZUR","93028",0,2
"2133","PACIFIC AZUR","93029",0,2
"2133","PACIFIC AZUR","93031",10,2
"2133","PACIFIC AZUR","93032",5,2
"2133","PACIFIC AZUR","91235",5,2
"2133","PACIFIC AZUR","93017",0,2
"2133","PACIFIC AZUR","93018",0,2
"2133","PACIFIC AZUR","93019",150,2
"2133","PACIFIC AZUR","93020",0,2
"2133","PACIFIC AZUR","93021",20,2
"2133","PACIFIC AZUR","93022",30,2
"2133","PACIFIC AZUR","93023",5,2
"2133","PACIFIC AZUR","93024",5,2
"2133","PACIFIC AZUR","91041",10,2
"2133","PACIFIC AZUR","91240",0,2
"2133","PACIFIC AZUR","93010",5,2
"2133","PACIFIC AZUR","93012",12,2
"2133","PACIFIC AZUR","93015",5,2
"2133","PACIFIC AZUR","93030",18,2
"2133","PACIFIC AZUR","93033",5,2
"2133","PACIFIC AZUR","93035",35,2
"2133","PACIFIC AZUR","93040",11,2
"2133","PACIFIC AZUR","93045",5,2
"2133","PACIFIC AZUR","93050",10,2
"2133","PACIFIC AZUR","93070",4,2
"2133","PACIFIC AZUR","93071",3,2
"2133","PACIFIC AZUR","93080",0,2
"2133","PACIFIC AZUR","94160",40,2
"2133","PACIFIC AZUR","94161",0,2
"2133","PACIFIC AZUR","94163",0,2
"2133","PACIFIC AZUR","94110",65,2
"2133","PACIFIC AZUR","94120",55,2
"2133","PACIFIC AZUR","94130",40,2
"2133","PACIFIC AZUR","94140",35,2
"2133","PACIFIC AZUR","94141",35,2
"2133","PACIFIC AZUR","94150",60,2
"2133","PACIFIC AZUR","94151",0,2
"2133","PACIFIC AZUR","94152",5,2
"2133","PACIFIC AZUR","94153",10,2
"2133","PACIFIC AZUR","94170",10,2
"2062","GOLDEN RAY","91025",0,2
"2062","GOLDEN RAY","91030",0,2
"2062","GOLDEN RAY","91040",400,2
"2062","GOLDEN RAY","91050",210,2
"2062","GOLDEN RAY","91080",4,2
"2062","GOLDEN RAY","91081",0,2
"2062","GOLDEN RAY","91120",3,2
"2062","GOLDEN RAY","91140",0,2
"2062","GOLDEN RAY","91143",0,2
"2062","GOLDEN RAY","91147",0,2
"2062","GOLDEN RAY","91150",4,2
"2062","GOLDEN RAY","91155",0,2
"2062","GOLDEN RAY","91157",0,2
"2062","GOLDEN RAY","91158",1430,2
"2062","GOLDEN RAY","91170",190,2
"2062","GOLDEN RAY","91180",85,2
"2062","GOLDEN RAY","91200",5,2
"2062","GOLDEN RAY","91220",3,2
"2062","GOLDEN RAY","91225",0,2
"2062","GOLDEN RAY","92010",0,2
"2062","GOLDEN RAY","92030",0,2
"2062","GOLDEN RAY","93025",10,2
"2062","GOLDEN RAY","93026",20,2
"2062","GOLDEN RAY","93027",18,2
"2062","GOLDEN RAY","93028",0,2
"2062","GOLDEN RAY","93029",0,2
"2062","GOLDEN RAY","93031",10,2
"2062","GOLDEN RAY","93032",5,2
"2062","GOLDEN RAY","91235",5,2
"2062","GOLDEN RAY","93017",0,2
"2062","GOLDEN RAY","93018",0,2
"2062","GOLDEN RAY","93019",150,2
"2062","GOLDEN RAY","93020",0,2
"2062","GOLDEN RAY","93021",20,2
"2062","GOLDEN RAY","93022",30,2
"2062","GOLDEN RAY","93023",5,2
"2062","GOLDEN RAY","93024",5,2
"2062","GOLDEN RAY","91041",10,2
"2062","GOLDEN RAY","91240",0,2
"2062","GOLDEN RAY","93010",5,2
"2062","GOLDEN RAY","93012",12,2
"2062","GOLDEN RAY","93015",5,2
"2062","GOLDEN RAY","93030",18,2
"2062","GOLDEN RAY","93033",5,2
"2062","GOLDEN RAY","93035",35,2
"2062","GOLDEN RAY","93040",11,2
"2062","GOLDEN RAY","93045",5,2
"2062","GOLDEN RAY","93050",10,2
"2062","GOLDEN RAY","93070",4,2
"2062","GOLDEN RAY","93071",3,2
"2062","GOLDEN RAY","93080",0,2
"2062","GOLDEN RAY","94160",30,2
"2062","GOLDEN RAY","94161",0,2
"2062","GOLDEN RAY","94163",0,2
"2062","GOLDEN RAY","94110",30,2
"2062","GOLDEN RAY","94120",25,2
"2062","GOLDEN RAY","94130",15,2
"2062","GOLDEN RAY","94140",25,2
"2062","GOLDEN RAY","94141",20,2
"2062","GOLDEN RAY","94150",30,2
"2062","GOLDEN RAY","94151",0,2
"2062","GOLDEN RAY","94152",5,2
"2062","GOLDEN RAY","94153",5,2
"2062","GOLDEN RAY","94170",5,2
"2062","GOLDEN RAY","94180",15,2
"2062","GOLDEN RAY","94185",0,2
"2062","GOLDEN RAY","94186",25,2
"2062","GOLDEN RAY","94187",25,2
"2062","GOLDEN RAY","94188",10,2
"2062","GOLDEN RAY","94194",15,2
"2062","GOLDEN RAY","94196",10,2
"2062","GOLDEN RAY","94271",5,2
"2062","GOLDEN RAY","94273",0,2
"2062","GOLDEN RAY","94375",0,2
"2062","GOLDEN RAY","94274",6,2
"2062","GOLDEN RAY","94275",10,2
"2062","GOLDEN RAY","94277",50,2
"2062","GOLDEN RAY","94800",12,2
"2062","GOLDEN RAY","94272",70,2
"2062","GOLDEN RAY","94400",0,2
"2062","GOLDEN RAY","94500",100,2
"2062","GOLDEN RAY","94520",0,2
"2062","GOLDEN RAY","94530",10,2
"2062","GOLDEN RAY","94540",10,2
"2062","GOLDEN RAY","94600",0,2
"2062","GOLDEN RAY","94610",3,2
"2062","GOLDEN RAY","94290",0,2
"2062","GOLDEN RAY","94310",0,2
"2062","GOLDEN RAY","94315",30,2
"2062","GOLDEN RAY","94317",20,2
"2062","GOLDEN RAY","94320",20,2
"2062","GOLDEN RAY","94321",25,2
"2062","GOLDEN RAY","94322",0,2
"2062","GOLDEN RAY","94323",10,2
"2062","GOLDEN RAY","94325",15,2
"2062","GOLDEN RAY","94340",20,2
"2062","GOLDEN RAY","94360",0,2
"2062","GOLDEN RAY","94370",0,2
"2062","GOLDEN RAY","94380",0,2
"2062","GOLDEN RAY","94381",0,2
"2062","GOLDEN RAY","94210",35,2
"2062","GOLDEN RAY","94211",30,2
"2062","GOLDEN RAY","94212",15,2
"2062","GOLDEN RAY","94213",55,2
"2062","GOLDEN RAY","94220",45,2
"2062","GOLDEN RAY","94221",60,2
"2062","GOLDEN RAY","94222",61,2
"2062","GOLDEN RAY","94223",20,2
"2062","GOLDEN RAY","94225",20,2
"2062","GOLDEN RAY","94226",35,2
"2062","GOLDEN RAY","94227",0,2
"2062","GOLDEN RAY","94240",0,2
"2062","GOLDEN RAY","94245",0,2
"2062","GOLDEN RAY","94246",0,2
"2062","GOLDEN RAY","94260",30,2
"2062","GOLDEN RAY","94262",30,2
"2062","GOLDEN RAY","94264",20,2
"2062","GOLDEN RAY","94270",14,2
"2062","GOLDEN RAY","94250",2,2
"2062","GOLDEN RAY","95010",60,2
"2062","GOLDEN RAY","95020",110,2
"2062","GOLDEN RAY","95030",40,2
"2062","GOLDEN RAY","95040",40,2
"2062","GOLDEN RAY","95045",0,2
"2062","GOLDEN RAY","96060",0,2
"2062","GOLDEN RAY","97110",61,2
"2062","GOLDEN RAY","97120",50,2
"2062","GOLDEN RAY","97210",0,2
"2062","GOLDEN RAY","97230",0,2
"2062","GOLDEN RAY","97320",0,2
"2062","GOLDEN RAY","97330",0,2
"2062","GOLDEN RAY","98230",25,2
"2062","GOLDEN RAY","98240",15,2
"2062","GOLDEN RAY","98255",0,2
"2062","GOLDEN RAY","98257",15,2
"2062","GOLDEN RAY","98260",0,2
"2062","GOLDEN RAY","98270",0,2
"2062","GOLDEN RAY","98290",0,2
"2062","GOLDEN RAY","98291",15,2
"2062","GOLDEN RAY","98510",0,2
"2062","GOLDEN RAY","EXDF",5,2
"2062","GOLDEN RAY","98210",50,2
"2062","GOLDEN RAY","98215",5,2
"2062","GOLDEN RAY","98310",0,2
"2182","INDIGO RAY","91020",850,2
"2182","INDIGO RAY","91021",240,2
"2182","INDIGO RAY","91025",0,2
"2182","INDIGO RAY","91030",0,2
"2182","INDIGO RAY","91040",400,2
"2182","INDIGO RAY","91050",210,2
"2182","INDIGO RAY","91080",4,2
"2182","INDIGO RAY","91081",0,2
"2182","INDIGO RAY","91120",3,2
"2182","INDIGO RAY","91140",0,2
"2182","INDIGO RAY","91143",0,2
"2182","INDIGO RAY","91147",0,2
"2182","INDIGO RAY","91150",4,2
"2182","INDIGO RAY","91155",0,2
"2182","INDIGO RAY","91157",0,2
"2182","INDIGO RAY","91158",1430,2
"2182","INDIGO RAY","91170",190,2
"2182","INDIGO RAY","91180",85,2
"2182","INDIGO RAY","91200",5,2
"2182","INDIGO RAY","91220",3,2
"2182","INDIGO RAY","91225",0,2
"2182","INDIGO RAY","92010",0,2
"2182","INDIGO RAY","92030",0,2
"2182","INDIGO RAY","93025",10,2
