child_value,child_description,parent1,parent1_description,parent2,parent2_description,parent3,parent3_descriptin,parent4,parent4_description,parent5,parent5_description,parent6,parent6_description,parent7,parent7_description,parent8,parent8_description,parent9,parent9_description,le,danaos_co_code,database
8031,EASTERN PACIFIC SHIPPING PTE. LTD.-BULGARIA,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,104,OFFICE
8032,EASTERN PACIFIC SHIPPING PTE. LTD.-ROMANIA,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,103,OFFICE
8033,EASTERN PACIFIC SHIPPING PTE. LTD.-UKRAINE,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,105,OFFICE
8051,"EASTERN PACIFIC SHIPPING JAPAN CO., LTD",T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,102,OFFICE
8081,VARDOM HOLDINGS INC,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,EPS PL,none,
8101,QUANTUM PACIFIC SHIPPING SERVICES PTE. LTD.,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2,OFFICE
4001,QUANTUM PACIFIC SHIPPING LIMITED,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,30,QPSL
4101,ADMIRAL INTERNATIONAL CORP.,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4121,CODUMENT HOLDINGS INC,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4181,XCLAT HOLDINGS LTD,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,58,QPSL
4201,PALLANO HOLDINGS INC.,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4221,PENLEET INVESTMENTS LIMITED,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4241,QUANTUM PACIFIC SHIPPING VENTURES LTD,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,50,QPSL
4261,TIMBER FINANCE LTD,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4281,VENTNOR NAVIGATION INC.,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4141,KERBON SHIPPING INC,4140,KERBON SHIPPING INC-HOLDING COMPANY,4140,KERBON SHIPPING INC-HOLDING COMPANY,4140,KERBON SHIPPING INC-HOLDING COMPANY,4140,KERBON SHIPPING INC-HOLDING COMPANY,4140,KERBON SHIPPING INC-HOLDING COMPANY,4140,KERBON SHIPPING INC-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
