child_value,danaos_co_code,database,company,short_name,name,managed_by,company_group,chart,company_type,base_currency,remarks,group_flag_1,group_flag_2,official_currency,global_vessel_id,create_intercompanies,is_filing,active_flag,company_level,bank_ledger,group_details_from,group_details_to,tonnage_tax_from,tonnage_tax_to,vat_group_from,vat_group_to,incexp_managed_by
8101,2,OFFICE,2,OE.LEV SAMAMA-Zo,R.L. Samama (Zodiac),12,Z,C,V,USD,New company created for payment of expenses,1,1,USD,,Y,Y,N,0,,,,,,,,
4152,38,QPSL,38,Longleigh Limted,Longleigh Limted,38,R,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
5615,38,QCT,38,Longleigh Limted,Longleigh Limted,38,R,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4152,38,EPS,38,Longleigh Limted,Longleigh Limted,38,R,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4241,50,QPSL,50,QPS Ventures,QPS Ventures,50,Y,C,M,USD,,1,3,USD,,Y,Y,N,0,,,,,,,,
4153,39,QPSL,39,EPC (7),Eastern Pacific Chartering (7) Inc,39,R,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4153,39,EPS,39,EPC (7),Eastern Pacific Chartering (7) Inc,39,R,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4741,40,QPSL,40,EPS UK,EPS UK,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4741,40,EPS,40,EPS UK,EPS UK,40,U,C,M,USD,,1,3,USD,,Y,Y,Y,0,,,,,,,,
4154,2145,,2145,MOUNT CARMEL,MOUNT CARMEL,13,R,C,V,USD,"Ex Cape Lilac. Delivered fm Owner (Fairwind Nav & Mizuho Sangyo) to BB Chtr (EPC (10)) on 30/6/17 1030 LT, 0130 GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
