ledger_card,oracle_natural_account,danaos_name,danaos_description_details,danaos_description_sub,danaos_description_main,account_group,acct_grouping_level4,acct_grouping_level3,acct_grouping_level2,acct_grouping_level1
98240,634322,Legal Fees,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98215,634314,Technician/Inspectors/Surveyor Expenses,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,TTP
97310,633998,Oil Pollution Insurance,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98310,634324,Bank Charges,Financial expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98255,634302,Ship to Shore,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98257,634304,Shore based (Telephone recoveries),Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98260,634316,Postage - Courier,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98270,634308,Masters Ports Expenses,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98290,634998,Other Administration Expenses,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98291,634318,Audit Fee and Tax Fee - Statutory Report,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98510,690002,Income Tax,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
EXDF,685016,SYSTEM EXCHANGE DIFFERENCES,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
98210,634312,Superintendents Expenses,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Superintendent Expenses
98230,657004,Annual Taxes & Consul Fees,Administration expenses,Administration Running Costs,Daily running costs,Administrative Costs,Operating Costs,Administration Running Costs,Administration Expenses,Admin Expenses-Others
94272,625502,Major Oil Company Inspection,Maintenance and repairs,Technical running costs,Daily running costs,Technical Costs-M&R,Operating Costs,Technical Running Costs,Audit and Inspection,Major Oil Inspection
94375,625104,Underwater Inspection,Maintenance and repairs,Technical running costs,Daily running costs,Technical Costs-M&R,Operating Costs,Technical Running Costs,Audit and Inspection,Audit and Inspection
94273,625102,SQA - ISO Audits,Maintenance and repairs,Technical running costs,Daily running costs,Technical Costs-M&R,Operating Costs,Technical Running Costs,Audit and Inspection,Audit and Inspection
94271,625108,Safety Inspection,Maintenance and repairs,Technical running costs,Daily running costs,Technical Costs-M&R,Operating Costs,Technical Running Costs,Audit and Inspection,Audit and Inspection
94400,625502,MOC Requirements,Maintenance and repairs,Technical running costs,Daily running costs,Technical Costs-M&R,Operating Costs,Technical Running Costs,Audit and Inspection,Major Oil Inspection
94270,625612,Survey-Bunker & Cargo Operations,Maintenance and repairs,Technical running costs,Daily running costs,Technical Costs-M&R,Operating Costs,Technical Running Costs,Audit and Inspection,Survey-Bunker & Cargo
91235,622108,Crew Conveyance / Travel Allowance,Crew payroll,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
93017,622102,Crew Helicopter Cost,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
93018,622114,Crew Family Tavel,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
93019,622102,Crew Travel - Airfare,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
93020,622102,Crew Travel,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
93021,622106,Crew Travel - Hotel,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
93022,622104,Crew Travel - Land Transport,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
93023,623154,Crew Travel - Launch,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
93024,623154,Crew Office Briefing Travel,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Hotel & Travel
91041,624302,Crew - Long Service Awards + Payments,Crew expenses,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Other Expenses
91240,624312,Crew Entertainment,Crew payroll,Crew running costs,Daily running costs,Crew Costs,Operating Costs,Crew Running Costs,Crew Expenses,Crew Other Expenses
