Vessel_code,Vessel_name,Fleet_Type_Sub_code,Fleet_Type_Sub,Fleet_Type_code,Fleet_Type,Fleet_Code,Fleet
283,ARAL SEA,9605,AFRAMAX,9600,TANKERS,,Fleet A2
905,BARENTS SEA,9605,AFRAMAX,9600,TANKERS,,Fleet A2
962,GUOFENG FIRST,9135,CAPESIZE,9100,BULKERS,,Fleet B
992,CORAL SEA,9605,AFRAMAX,9600,TANKERS,,Fleet A2
1101,MARITIME JEWEL,9630,VLCC,9600,TANKERS,,Fleet A2
1131,CEYLON,9615,PRODUCT,9600,TANKERS,,Fleet A1
1139,SAVANNAH,9610,PRODUCT,9600,TANKERS,,Fleet A1
1147,CUMBRIA,9415,,9400,,,
1214,KARA SEA,9605,AFRAMAX,9600,TANKERS,,Fleet A2
1238,ROSS SEA,9605,AFRAMAX,9600,TANKERS,,Fleet A2
1255,PACIFIC DIAMOND,9615,PRODUCT,9600,TANKERS,,Fleet A1
1257,PACIFIC QUARTZ,9615,PRODUCT,9600,TANKERS,,Fleet A1
1304,PACIFIC ZIRCON,9615,PRODUCT,9600,TANKERS,,Fleet A1
1315,PACIFIC ONYX,9615,PRODUCT,9600,TANKERS,,Fleet A1
1340,LESOTHO,9310,,9300,,,
1344,BRIGHTWAY,9625,SUEZMAX,9600,TANKERS,,Fleet A2
1349,FAIRWAY,9625,SUEZMAX,9600,TANKERS,,Fleet A2
1398,PACIFIC BERYL,9615,PRODUCT,9600,TANKERS,,Fleet A1
1422,BANDA SEA,9605,AFRAMAX,9600,TANKERS,,Fleet A2
2011,MSC NATASHA,9330,,9300,,,
2013,MOUNT APO,9105,CAPESIZE,9100,BULKERS,,Fleet B
2016,WESTGATE,9110,HANDYMAX,9100,BULKERS,,Fleet B
2017,ALEXANDER BAY,9320,CONTAINER 4-5K TEU,9300,CONTAINERS,,Fleet C
2018,GLACIER BAY,9305,CONTAINER 2-3K TEU,9300,CONTAINERS,,Fleet C
2022,CORONADO BAY,9305,CONTAINER 2-3K TEU,9300,CONTAINERS,,Fleet C
2023,BELLA,9320,CONTAINER 2-3K TEU,9300,CONTAINERS,,Fleet C
2024,FLORIDA BAY,9320,CONTAINER 4-5K TEU,9300,CONTAINERS,,Fleet C
2025,CHESAPEAKE BAY,9320,CONTAINER 4-5K TEU,9300,CONTAINERS,,Fleet C
2026,INDIAN HARMONY,9120,PANAMAX,9100,BULKERS,,Fleet B
2027,LYME BAY,9320,CONTAINER 3-4K TEU,9300,CONTAINERS,,Fleet C
2028,INDIAN SOLIDARITY,9120,PANAMAX,9100,BULKERS,,Fleet B
2029,CAP ARNAUTI,9310,CONTAINER 6-8K TEU,9300,CONTAINERS,,Fleet C
2030,INDIAN FRIENDSHIP,9105,CAPESIZE,9100,BULKERS,,Fleet B
2031,CSAV TRANCURA,9315,CONTAINER 8-10K TEU,9300,CONTAINERS,,Fleet C
2032,DEVONGATE,9130,ULTRAMAX,9100,BULKERS,,Fleet B
2033,LAKE GENEVA,9505,PCTC,9500,PCTC,,Fleet C
2036,MOUNT NEVIS,9105,CAPESIZE,9100,BULKERS,,Fleet B
2038,MSC CLAUDIA,9320,,9300,,,
2041,MSC SHAULA,9320,,9300,,,
2043,MSC MESSINA,9320,,9300,,,
2045,HANDAN STEEL,9135,VLOC,9100,BULKERS,,Fleet B
2046,LAIWU STEEL HARMONIOUS,9135,VLOC,9100,BULKERS,,Fleet B
2047,SHAGANG FAITH,9135,VLOC,9100,BULKERS,,Fleet B
2048,SHAGANG GIANT,9135,VLOC,9100,BULKERS,,Fleet B
2049,WUGANG ASIA,9135,VLOC,9100,BULKERS,,Fleet B
2050,WUGANG CAIFU,9135,VLOC,9100,BULKERS,,Fleet B
2051,MOUNT KINABALU,9115,CAPESIZE,9100,BULKERS,,Fleet B
2052,MOUNT OPHIR,9105,CAPESIZE,9100,BULKERS,,Fleet B
2057,RUTLAND,9105,CAPESIZE,9100,BULKERS,,Fleet B
2059,BRIDGEGATE,9125,ULTRAMAX,9100,BULKERS,,Fleet B
2060,CRYSTALGATE,9110,HANDYMAX,9100,BULKERS,,Fleet B
2061,STARGATE,9110,HANDYMAX,9100,BULKERS,,Fleet B
2062,GOLDEN RAY,9205,CHEMICAL,9200,CHEMICAL,,Fleet A1
2063,YELLOW RAY,9205,CHEMICAL,9200,CHEMICAL,,Fleet A1
2064,GREEN RAY,9205,CHEMICAL,9200,CHEMICAL,,Fleet A1
2065,IVORY RAY,9205,CHEMICAL,9200,CHEMICAL,,Fleet A1
2066,SILVER RAY,9205,CHEMICAL,9200,CHEMICAL,,Fleet A1
2067,EBONY RAY,9205,CHEMICAL,9200,CHEMICAL,,Fleet A1
