vessel_code,owning_entity,owning_entity_codes,ownership,vessel_type,vessel_group,dwt,built_year,sold_date,vessel_class,period,company_structure_in_danaos,qps_ownership,qct_ownership,managed_by_eps,ownership_type,built,date_built,useful_life,lwt,start_date,journal_start_date,journal_end_date,qct_start_date,addl_attribute1,addl_attribute2,addl_attribute3,last_updated_date,last_updated_by,include_in_drc
283,Harike Shipping Inc.,5648,Sold,Tankers,Aframax,104884,1999,2018-08-03,,31-Dec,C,QPS,QCT,EPS SG,Owned,1999,1999-03-22,20,16831,1999-03-22,,,2013-01-01,,,,,,1
905,Fairell Shipping Corporation,5643,Owned,Tankers,Aframax,105588,2000,2020-06-18,,31-Dec,C,QPS,QCT,EPS SG,Owned,2000,2000-04-01,20,17152,2000-04-01,,,2013-01-01,,,,,,1
962,Crystal Carriers Shipping Pte. Ltd.,,Sold,Bulkers,VLOC,211320,1996,2018-03-21,,31-Dec,,QPS,,,Chinese Charterers,1996,1996-01-09,20,25450,2012-01-01,,,,,,,,,1
992,Ronsal Shipping Inc,5667,Owned,Tankers,Aframax,105665.9,2003,,,31-Dec,C,QPS,QCT,EPS SG,Owned,2003,2003-10-23,20,17074,2003-10-23,,,2013-01-01,,,,,,1
1101,Moray Marine S.A.,5658,Sold,Tankers,VLCC,299364,2000,2018-10-05,,31-Dec,C,QPS,QCT,EPS SG,Owned,2000,2000-05-01,20,41947,2000-05-01,,,2013-01-01,,,,,,1
1131,Crum Shipping Inc.,5628,Sold,Tankers,MR - Conventional,46001,2002,2019-09-24,,31-Dec,P,QPS,QCT,EPS SG,Owned,2002,2002-08-22,20,8673,2002-08-22,,,,,,,,,0
1139,Jensal Shipping Inc.,4343,Sold,Tankers,Handy,47172,1996,2016-01-14,,31-Dec,P,QPS,,EPS SG,Owned,1996,1996-04-18,20,9302,1996-04-18,,,,,,,,,1
1147,Gesteq Shipping Inc,,Sold,LNG,Small - LPG,13453,1990,,,,,,,,,,,,,,,,,,,,,,0
1214,Latrix Shipping Inc.,5653,Owned,Tankers,Aframax,115191,2010,,,31-Dec,C,QPS,QCT,EPS SG,Owned,2010,2010-04-16,20,16439,2010-04-16,,,2013-01-01,,,,,,1
1238,Barty Shipping S.A.,5619,Owned,Tankers,Aframax,114542,2011,,,31-Dec,C,QPS,QCT,EPS SG,Owned,2011,2011-07-20,20,17759,2011-07-20,,,2013-01-01,,,,,,1
1255,Tanker Pacific Chartering (2) Limited,5672,BBCP In,Tankers,MR - Conventional,47917,2010,,,31-Dec,P,QPS,,EPS SG,BB-IN,2010,,,,2013-01-04,,,,,,,,,1
1257,Tanker Pacific Chartering (2) Limited,5672,BBCP In,Tankers,MR - Conventional,70000,2011,,,31-Dec,P,QPS,,EPS SG,BB-IN,2011,,,,2013-01-04,,,,,,,,,1
